epoch,step,test_bps_bhv,test_bps_enc,test_loss,time_forward,train_bps_enc,train_loss,valid_bps_bhv,valid_bps_enc,valid_loss
38,116,,,,,,,-0.0431828573346138,0.5380344986915588,3310.187255859375
38,116,,,,0.8402746319770813,0.6179247498512268,3097.073974609375,,,
39,119,,,,,,,0.13328614830970764,0.5352196097373962,3308.705810546875
39,119,,,,0.907543420791626,0.6123260855674744,3098.895263671875,,,
40,122,,,,,,,0.11075854301452637,0.5390198230743408,3308.3193359375
40,122,,,,0.9806299805641174,0.6117705702781677,3098.493896484375,,,
41,125,,,,,,,0.10427169501781464,0.5414388179779053,3304.815185546875
41,125,,,,0.7856228351593018,0.6117476224899292,3097.689697265625,,,
42,128,,,,,,,0.06457260251045227,0.5400519371032715,3307.7529296875
42,128,,,,0.7725679278373718,0.6137673854827881,3096.271484375,,,
43,131,,,,,,,0.09311199933290482,0.5370694994926453,3308.11767578125
